Antibiotic ID,Generic Name,Brand Name,Drug Class,Contents,Manufacturers,Distributors,Reference ID,Generic Name
A001,Doxycycline,Doxin,Tetracyclines,Doxycycline Hyclate,"BIOFEMME, Inc","UNILAB, Inc",R001,Doxycycline
A002,Doxycycline,Doxyclen,Tetracyclines,Doxycycline Hyclate,Lloyd Laboratories Inc,"Nurturemed Pharma, Inc",R002,Levofloxacin
A003,Doxycycline,Dynadoxy,Tetracyclines,Doxycycline Hyclate,"Swiss Pharmaceutical Co., LTD",Crisdy-Na Drug Corp,R003,Cefotaxime
A004,Levofloxacin,RiteMED Levofloxacin,Quinolones,Levofloxacin Hemihydrate,"RiteMed Phils, Inc",United Laboratories,R004,Azithromycin
A005,Levofloxacin,Levocin,Quinolones,Levofloxacin Hemihydrate,"Getz Pharma (Phils.,) Inc","Getz Bros Phils, Inc",R005,Amoxicillin
A006,Levofloxacin,Omnivox,Quinolones,Levofloxacin Hemihydrate,Mepro Pharmaceutical Ltd,Bell-Kenz Pharma Inc,R006,Clarithromycin
A007,Cefotaxime,Ximvex,Cephalosporins,Cefotaxime,North China Pharmaceutical Co Ltd,Sannovex Pharmaceuticals,R007,Fosfomycin
A008,Azithromycin,Azcotil,Macrolides,Azithromycin Dihydrate,"Interphil Laboratories, Inc","Interphil Laboratories, Inc",R008,Trimethoprim-sulfamethoxazole
A009,Azithromycin,Zenith,Macrolides,Azithromycin Monohydrate,"UNILAB, Inc","UNILAB, Inc",R009,Cefuroxime
A010,Azithromycin,Zithrocare,Macrolides,Azithromycin Dihydrate,Meyer Organics Pvt. Ltd,"Khriz Pharma Trading, Inc",R010,Ciprofloxacin
A011,Amoxicillin,Amoxil,Penicillins,Amoxicillin,"Glaxosmithkline Philippines, Inc",Zuellig Pharma Corporation,R011,Cefixime
A012,Amoxicillin,Pediamox,Penicillins,Amoxicillin Trihydrate,"UNILAB, Inc","UNILAB, Inc",R012,Nitrofurantoin
A013,Amoxicillin,RiteMED Amoxicillin,Penicillins,Amoxicillin Trihydrate,"RiteMed Phils, Inc",United Laboratories,R013,
A014,Clarithromycin,Klaryth,Macrolides,Clarithromycin,"The Cathay Yss Distributors Co, Inc","The Cathay Yss Distributors Co, Inc",R014,
A015,Clarithromycin,Kracid,Macrolides,Clarithromycin,Fredun Pharmaceuticals Ltd,"Khriz Pharma Trading, Inc",R015,
A016,Clarithromycin,RiteMED Clarithromycin,Macrolides,Clarithromycin,"RiteMed Phils, Inc","RiteMed Phils, Inc",R016,
A017,Fosfomycin,Exelfos,Other Antibiotics,Fosfomycin Trometamol,"Labiana Pharmaceuticals, SLU","Exeltis International Philippines, Inc",R017,
A018,Fosfomycin,Fosfostal,Other Antibiotics,Fosfomycin Trometamol,Stallion Labs,"Scriptmed, Inc",R018,
A019,Fosfomycin,Monurol,Other Antibiotics,Fosfomycin Trometamol,Zambon Group,"The Cathay Drug Co, Inc",R019,
A020,Trimethoprim-sulfamethoxazole,Zolmed,Antimicrobial Combinations,Co-trimoxazole: Sulfamethoxazole,Medhaus Pharma Inc,Medhaus Pharma Inc,R020,
A021,Cefuroxime,Altacef,Cephalosporins,Cefuroxime Axetil,"Glenmark Philippines, Inc","Glenmark Philippines, Inc",R021,
A022,Cefuroxime,Cefumax,Cephalosporins,Cefuroxime Axetil,"Nutramedica, Inc","Nutramedica, Inc",R022,
A023,Cefuroxime,Zefur,Cephalosporins,Cefuroxime Axetil,Llyod Laboratories Inc,Innogen Pharmaceuticals Inc,R023,
A024,Ciprofloxacin,Ciflomed,Quinolones,Ciprofloxacin,Flamingo,Trumed Pharmaceuticals,R024,
A025,Ciprofloxacin,Xypen,Quinolones,Ciprofloxacin HCI,Medhaus Pharma Inc,Medhaus Pharma Inc,R025,
A026,Ciprofloxacin,Ziprocap,Quinolones,Ciprofloxacin HCI,"Nutramedica, Inc","Nutramedica, Inc",R026,
A027,Cefixime,RiteMED Cefixime,Cephalosporins,Cefixime,"RiteMed Phils, Inc",United Laboratories,R027,
A028,Cefixime,Triocef,Cephalosporins,Cefixime Trihydrate,"The Cathay Drug Co, Inc","The Cathay Drug Co, Inc",R028,
A029,Cefixime,Ultraxime,Cephalosporins,Cefixime,"UNILAB, Inc","UNILAB, Inc",R029,
A030,Nitrofurantoin,Nitro,Nitrofuran Derivative Antibacterials,Nitrofurantoin,West-Coast Pharmaceutical Works Ltd,"Scriptmed, Inc",R030,
