Indication ID,Condition Type,Condition Name,Reference ID
I001,urinary,Urinary Tract Infection (Enterobacter Aerogenes),R001
I002,urinary,Urinary Tract Infection (Klebsiella Spp),R001
I003,urinary,Urinary Tract Infection (Acinetobacter Spp),R001
I004,respiratory,Respiratory Tract Infection (Mycoplasma Pneumoniae),R001
I005,respiratory,Respiratory Tract Infection (Haemophilus Influenzae),R001
I006,respiratory,Respiratory Tract Infection (Streptococcus Pneumoniae),R001
I007,respiratory,Respiratory Tract Infection (Klebsiella Spp),R001
I008,respiratory,Respiratory Tract Infection (Mycoplasma Pneumoniae),R002
I009,respiratory,Respiratory Tract Infection (Haemophilus Influenzae),R002
I010,respiratory,Upper Respiratory Infections (Streptococcus Pneumoniae),R002
I011,urinary,Urinary Tract Infection (Klebsiella Species),R002
I012,respiratory,Pneumonia,R003
I014,respiratory,Acute Bronchitis,R003
I015,respiratory,Bronchiectasis,R003
I016,respiratory,Pharyngitis,R003
I017,respiratory,Psittacosis,R003
I018,respiratory,Mycoplasma Pneumoniae,R003
I019,urinary,Urethritis,R003
I020,urinary,Cystitis,R003
I021,urinary,Pyelonephritis,R003
I022,urinary,Nephritis,R003
I023,urinary,Prostatitis,R003
I025,respiratory,Acute Bacterial Sinusitis,R004
I026,respiratory,Chronic Bronchitis,R004
I027,respiratory,Pneumonia,R004
I029,urinary,Complicated Urinary Tract Infections,R004
I030,urinary,Pyelonephritis,R004
I031,urinary,Bacterial Prostatitis,R004
I032,urinary,Uncomplicated Urinary Tract Infections,R004
I033,respiratory,Acute Bacterial Sinusitis,R005
I034,respiratory,Chronic Bronchitis,R005
I035,respiratory,Pneumonia,R005
I036,respiratory,Acute Bacterial Sinusitis,R005
I037,urinary,Complicated Urinary Tract Infections,R005
I038,urinary,Pyelonephritis,R005
I039,urinary,Bacterial Prostatitis,R005
I041,respiratory,Sinus Infections,R006
I042,urinary,Urinary Tract Infections,R006
I043,respiratory,Pneumonia,R007
I044,urinary,Gonorrhea,R007
I045,respiratory,Chronic Bronchitis ,R008
I046,respiratory,Acute Bacterial Sinusitis,R008
I048,respiratory,Pneumonia,R008
I049,respiratory,Pharyngitis,R008
I050,urinary,Urethritis,R008
I051,urinary,Cervicitis,R008
I052,respiratory,Pneumonia,R009
I053,respiratory,Chronic Bronchitis,R009
I054,respiratory,Acute Bacterial Sinusitis,R009
I055,respiratory,Tonsillitis,R009
I056,respiratory,Pharyngitis,R009
I057,respiratory,Acute Otitis Media,R009
I059,respiratory,Respiratory Tract Infections,R010
I060,respiratory,Acute Otitis Media,R010
I061,urinary,Urethritis,R010
I062,urinary,Cervicitis,R010
I063,respiratory,Upper Respiratory Infections,R011
I064,respiratory,Lower Respiratory Tract Infections,R011
I065,respiratory,Acute Otitis Media,R011
I066,urinary,Cystitis,R011
I067,urinary,Pyelonephritis,R011
I068,urinary,Asymptomatic Bacteriuria,R011
I071,respiratory,Ear Infections,R012
I072,respiratory,Acute Otitis Media,R012
I073,respiratory,Lower Respiratory Tract Infections,R012
I074,urinary,Genitourinary Tract Infections,R012
I075,respiratory,Upper Respiratory Tract Infections,R013
I076,respiratory,Acute Otitis Media,R013
I077,respiratory,Lower Respiratory Tract Infections,R013
I078,urinary,Genitourinary Tract Infections,R013
I079,respiratory,Pharyngitis,R014
I080,respiratory,Acute Bacterial Sinusitis,R014
I081,respiratory,Chronic Bronchitis,R014
I082,respiratory,Pneumonia,R014
I083,respiratory,Acute Otitis Media,R014
I084,respiratory,Lower Respiratory Tract Infections (Acute Bronchitis),R015
I085,respiratory,Lower Respiratory Tract Infections (Chronic Bronchitis),R015
I086,respiratory,Lower Respiratory Tract Infections (Pneumonia),R015
I087,respiratory,Upper Respiratory Tract Infections (Sinusitis),R015
I088,respiratory,Upper Respiratory Tract Infections (Pharyngitis),R015
I089,respiratory,Respiratory Infections,R015
I090,respiratory,Legionella Pneumophila Infection,R015
I091,respiratory,Bordetella Pertussis Infection,R015
