Substance ID,Type,Substance Name,Substance Description,Reference ID
SUB001,Drug,Anticoagulants,"Anticoagulants are medicines that increase the time it takes for blood to clot. They are commonly called blood thinners. 
","R001
R002
R003
R013
R027
R029
R031"
SUB002,Drug,Penicillin,"Penicillins are a group of antibiotics that fight bacteria and was originally developed from the Penicillium fungi. Penicillin V is one type of penicillin antibiotic and is used to treat a wide range of bacterial infections such as ear infections, throat infections, skin infections and preventing rheumatic fever.

","R001
R002
R003
R032"
SUB003,Drug,Antacids,"Antacids are medicines that neutralize acid in the stomach. They contain ingredients such as aluminum, calcium, magnesium, or sodium bicarbonate which act as bases (alkalis) to counteract stomach acid and make its pH more neutral.","R001
R002
R003
R004
R005
R006
R008
R009
R010
R033"
SUB004,Drug,Barbiturates,"Barbiturates are a class of drugs that were used extensively in the 1960s and 1970s as a treatment for anxiety, insomnia, and seizure disorders. Apart from a few specific indications, they are not commonly prescribed these days, having been largely superseded by benzodiazepines, which are much safer, although still potentially addictive.","R001
R002
R003
R034"
SUB005,Drug,Carbamazepine,"Carbamazepine is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and nerve pain, such as trigeminal neuralgia and diabetic neuropathy.","R001
R002
R003
R009
R010
R014
R016
R027
R029
R035"
SUB006,Drug,Phenytoin,"Phenytoin is an anti-epileptic drug, also called an anticonvulsant. Phenytoin works by slowing down impulses in the brain that cause seizures.","R001
R002
R003
R014
R016
R020
R036"
SUB007,Drug,Methoxyflurane,"It is used to ease pain.","R001
R037"
SUB008,Drug,Oral Contraceptives,Contraceptives are the name given to medicines and other devices that are used to prevent unwanted pregnancy. Contraceptives may also be referred to as birth control. Hormonal contraceptives that contain both an estrogen and progestin are called combined oral contraceptives (COCs).,"R001
R002
R012
R013
R038"
SUB009,Drug,Bismuth Subsalicylate,"Bismuth subsalicylate relieves diarrhea, travelers' diarrhea, nausea, heartburn, indigestion, gas, or upset stomach.","R001
R002
R003
R039"
SUB010,Drug,Aminoglycosides,"Aminoglycosides are a class of antibiotics used mainly in the treatment of aerobic gram-negative bacilli infections, although they are also effective against other bacteria including Staphylococci and Mycobacterium tuberculosis. They are often used in combination with other antibiotics.","R003
R040"
SUB011,Drug,Contraceptives,COCs prevent pregnancy by inhibiting the normal process of ovulation (the release of an egg from an ovary) and by altering the lining of the uterus (the endometrium) so that it is unable to support a fertilized egg. They also change the viscosity (stickiness) of mucus within the cervix to make it hard for sperm to travel to the uterus.,"R003
R038"
SUB012,Drug,Sucralfate,"Sucralfate works mainly in the lining of the stomach and is not highly absorbed into the body. sucralfate adheres to ulcer sites and protects them from acids, enzymes, and bile salts.","R004
R005
R006
R026
R041"
SUB013,Drug,Didanosine,Didanosine is used in combination with other medicines for the treatment of human immunodeficiency virus (HIV) infection. HIV is the virus that causes acquired immune deficiency syndrome (AIDS).,"R004
R009
R042"
SUB014,Food,Multivit Prep w/ Zn,Zinc is a naturally occurring mineral. Zinc is important for growth and for the development and health of body tissues.,"R004
R005
R043"
SUB015,Drug,"Class IA (Quinidine, Procainamide)","Precise role in antiarrhythmic therapy has not been established. Some experts recommend that disopyramide be reserved for use as an alternative drug when lidocaine, quinidine, or procainamide is ineffective or adverse effects of these drugs are intolerable.","R004
R044"
SUB016,Drug,"Class III (Amiodarone, Sotalol)","Used to suppress and prevent recurrence of documented life-threatening ventricular arrhythmias (e.g., sustained ventricular tachycardia); designated an orphan drug by FDA for such use.","R004
R045"
SUB017,Drug,Fluoxetine,"Fluoxetine is a selective serotonin reuptake inhibitor (SSRI) antidepressant. Fluoxetine inhibits the uptake of serotonin by a nerve cells (neurons) and helps people with depression, panic, anxiety, or obsessive-compulsive symptoms.","R004
R014
R046"
SUB018,Drug,Imipramine,Imipramine is a tricyclic antidepressant used to treat symptoms of depression. Imipramine is sometimes used to treat bed-wetting in children ages 6 and older.,"R004
R047"
SUB019,Drug,Antidiabetic Agent,"Antidiabetic agents refer to all the different types of medicine involved in the treatment of diabetes. Antidiabetic agents also prevent the development of, or slow the progression of, long-term complications of the disease, such as nephropathy (kidney disease), neuropathy (nerve damage), and retinopathy (damage to the retina of the eye).","R004
R005
R048"
SUB020,Drug,Cyclosporine,"Cyclosporine weakens your body's immune system, to help keep it from ""rejecting"" a transplanted organ such as a kidney. Organ rejection happens when the immune system treats the new organ as an invader and attacks it.","R005
R010
R014
R016
R026
R049"
SUB021,Drug,Tacrolimus,"Tacrolimus is used together with other medicines in people who have had a heart, kidney, liver, or lung transplant.","R004
R014
R016
R050"
SUB022,Drug,Corticosteroids,Corticosteroids (adrenal cortical steroids) are natural hormones made by the adrenal cortex which are important in maintaining good health. ,"R004
R010
R051"
SUB023,Drug,Fluconazole,"Fluconazole is a prescription azole antifungal medication that may be used to treat serious fungal or yeast infections including those that affect the vagina, mouth or throat, lungs, bladder, or blood.","R004
R009
R014
R052"
SUB024,Drug,Theophylline,"Theophylline is a bronchodilator that is used to treat symptoms of asthma, bronchitis, emphysema, and other breathing problems.","R004
R005
R006
R009
R010
R014
R016
R024
R025
R026
R053"
SUB025,Drug,Warfarin,"Warfarin is an anticoagulant (blood thinner). Warfarin reduces the formation of blood clots. Warfarin is used to treat or prevent blood clots in veins or arteries, which can reduce the risk of stroke, heart attack, or other serious conditions.
","R004
R005
R009
R010
R011
R020
R027
R029
R054"
SUB026,Drug,Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),Nonsteroidal anti-inflammatories (usually abbreviated to NSAIDs) are a class of medicines that relieve pain and fever and reduce inflammation.,"R005
R006
R055"
SUB027,Drug,Digoxin,"Digoxin is derived from the leaves of a digitalis plant. Digoxin helps make the heart beat stronger and with a more regular rhythm.
","R005
R006
R009
R010
R013
R014
R020
R056"
SUB028,Drug,Probenecid,Probenecid is used to treat gout and gouty arthritis. probenecid reduces the amount of uric acid in your body by causing it to be passed in your urine.,"R005
R006
R007
R011
R012
R013
R021
R022
R023
R026
R027
R029
R030
R057"
SUB029,Drug,Cimetidine,"Cimetidine is a stomach acid reducer that is used to treat and prevent certain types of stomach ulcer. Cimetidine is also used to treat gastroesophageal reflux disease (GERD), when stomach acid backs up into the esophagus and causes heartburn.","R005
R006
R009
R014
R058"
SUB030,Drug,Iron Salts,Iron dextran is used to treat iron deficiencies and iron deficiency anemia (low red blood cells).,"R006
R026
R060"
SUB031,Drug,Calcium Carbonate,Calcium carbonate is used to prevent or to treat a calcium deficiency.,"R006
R061"
SUB032,Drug,Ranitidine,"Ranitidine is used to treat and prevent ulcers in the stomach and intestines. It is also used to treat conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome.","R006
R062"
SUB033,Food,Meals,Regularly scheduled eating occasions consisting of a combination of foods and beverages.,"R006
"
SUB034,Drug,Mezlocillin,"Used in treatment of Cesarean Section, Gonococcal Infection, Surgical Prophylaxis, Urinary Tract Infection.","R007
R063"
SUB035,Drug,Astemizole,Astemizole was withdrawn from U.S. market in 1999.,"R008
R015
R016
R064"
SUB036,Drug,Cisapride,"Cisapride is used for the symptomatic (e.g., nocturnal heartburn) relief of gastroesophageal reflux. Drug therapy (e.g., antacids, alginic acid, prokinetic agents, histamine H2-receptor antagonists, proton-pump inhibitors) for gastroesophageal reflux is used in adults who are unresponsive to conventional nondrug therapy alone, including changes in lifestyle, habits, and/or diet that may be contributing factors, and weight reduction in obese patients.","R008
R015
R016
R017
R065"
SUB037,Drug,Terfenadine,Terfenadine was withdrawn from the U.S. market in 1998.,"R008
R009
R014
R015
R016
R066"
SUB038,Drug,Cetirizine,"Cetirizine is also used to treat an allergic reaction, itching and swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","R009
R067"
SUB039,Drug,Colchicine,"Colchicine is an oral, plant-based prescription alkaloid derived from the dried seeds of the autumn crocus or meadow saffron (Colchicum autumnale) that, depending on the brand or generic, may be used to treat and prevent gout flares in adults.","R009
R014
R068"
SUB040,Drug,Zidovudine,"Zidovudine is an antiviral medicine used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS). Zidovudine is also given during pregnancy to prevent an HIV-infected woman from passing the virus to her baby. Zidovudine is not a cure for HIV or AIDS.","R009
R014
R016
R020
R069"
SUB041,Drug,Atorvastatin,"Atorvastatin is a prescription medicine used to treat high cholesterol and to reduce the risk of heart attack, stroke, angina, and to decrease the chance that heart surgery will be needed in people who have heart disease or who are at risk of developing heart disease.","R009
R070"
SUB042,Drug,Efavirenz,"Efavirenz is used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS). Efavirenz is for adults and children who are at least 3 months old and weigh at least 8 pounds. Efavirenz is not a cure for HIV or AIDS.","R009
R014
R071"
SUB043,Drug,Indinavir,Indinavir is used alone or in combination with other anti-HIV medicines to treat infection caused by the human immunodeficiency virus (HIV). HIV is the virus that causes acquired immune deficiency syndrome (AIDS).,"R009
R072"
