Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W001,A001,Pregnancy Category D,Pregnancy & Lactation,"Do not use tetracycline during pregnancy. Tetracyclines readily cross the placenta, are found in fetal tissues and can have toxic effects on the developing fetus (retardation of skeletal development). Evidence of embryotoxicity has also been noted in animals treated early in pregnancy.",R001
W002,A001,Lactation,Pregnancy & Lactation,"Tetracyclines are excreted in breast milk. A dosage of 2 g/day for 3 days has achieved a milk plasma ratio of 0.6 to 0.8. Because of potential adverse reactions, decide whether to discontinue nursing or the drug, taking into account the importance of the drug to the mother.",R001
W003,A001,Hypersensitivity,Contraindication,Hypersensitivity to any of the tetracyclines.,R001
W004,A001,Pediatric Use,Age Restriction,Do not use in children aged 8 years and below because of the effect of tetracyclines in teeth (permanent discoloration and possibly enamel hypoplasia) and bone.,R001
W005,A001,Expired Products ,Patient Condition,"Do not administer expired tetracyclines under any circumstance. Its degradation products are highly nephrotoxic and have on occasion, produced a Fanconi-like syndrome.",R001
W006,A002,Tooth Development Discoloration Risk,Age Restriction,"The use of drugs of the tetracycline class during tooth development (last half of pregnancy, infancy and childhood to the age of 8 years) may cause permanent discoloration of the teeth (yellow-gray-brown).",R002
W007,A002,Pediatric Use,Age Restriction,"Use doxycycline in pediatric patients 8 years of age or less only when the potential benefits are expected to outweigh the risks in severe or life-threatening conditions (e.g., anthrax, Rocky Mountain spotted fever), particularly when there are no alternative therapies.",R002
W008,A002,Clostridium Difficile Associated Diarrhea (CDAD),Patient Condition,"Clostridium difficile associated diarrhea (CDAD) has been reported with use of antibacterial agents, including doxycycline, and may range from mild diarrhea to fatal colitis. Treatment alters normal colon flora leading to overgrowth of C. difficile, which produces toxins contributing to CDAD. Hypertoxin-producing strains increase morbidity and mortality and may require colectomy. CDAD should be considered in patients with diarrhea following antibacterial use and may occur up to two months after administration. If suspected or confirmed, discontinue non-targeted antibacterial drugs and initiate appropriate management including fluids, electrolyte support, antibacterial treatment, and surgical evaluation as clinically indicated.",R002
W009,A002,Severe Skin Reactions,Patient Condition,"Severe skin reactions, such as exfoliative dermatitis, erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis, and drug reaction with eosinophilia and systemic symptoms (DRESS) have been reported in patients receiving doxycycline.",R002
W010,A002,Intracranial Hypertension (IH),Patient Condition,"Intracranial hypertension (IH, pseudotumor cerebri) has been associated with tetracyclines including doxycycline. Symptoms include headache, blurred vision, diplopia, vision loss, and papilledema. Women of childbearing age who are overweight or have a history of IH are at greater risk. Concomitant use with isotretinoin should be avoided. Although IH usually resolves after discontinuation, permanent visual loss may occur. If visual disturbance develops, prompt ophthalmologic evaluation is required, and patients should be monitored as intracranial pressure may remain elevated after drug cessation.",R002
W011,A002,Fetal Toxicity Risk,Pregnancy & Lactation,"Results of animal studies indicate that tetracyclines cross the placenta, are found in fetal tissues, and can have toxic effects on the developing fetus (often related to retardation of skeletal development). Evidence of embryotoxicity has also been noted in animals treated early in pregnancy. If any tetracycline is used during pregnancy or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to the fetus.",R002
W012,A002,Sulfite Sensitivity Reactions,Contraindication,"This contains sodium metabisulfite, a sulfite that may cause allergic-type reactions, including anaphylactic symptoms and life-threatening or less severe asthmatic episodes in certain susceptible people. The overall prevalence of sulfite sensitivity in the general population is unknown and probably low. Sulfite sensitivity is seen more frequently in asthmatic than in non-asthmatic people.",R002
W013,A002,Overdosage,Overdosage,"In case of overdosage, discontinue medication, treat symptomatically and institute supportive measures. Dialysis does not alter serum half-life and thus would not be of benefit in treating cases of overdosage.",R002
